ID,Name,Position,ADP,Team
1166235,Sincere McCormick,RB,,LV
739799,Gus Edwards,RB,,FA
728338,Ezekiel Elliott,RB,,FA
1116663,Will Levis,QB,,TEN
691055,Nelson Agholor,WR,,FA
973945,Mac Jones,QB,,SF
1059576,Ty Chandler,RB,,MIN
1056865,Stone Smartt,TE,,NYJ
1214837,Tez Johnson,WR,,TB
1130270,Rondale Moore,WR,,MIN
1213482,Elijhah Badger,WR,,KC
1271323,Marcus Yarns,RB,,NO
1287566,Donovan Edwards,RB,,NYJ
1060312,Colby Parkinson,TE,,LAR
1313642,Montrell Johnson Jr.,RB,,PHI
1277914,Devontez Walker,WR,,BAL
740704,Johnny Mundt,TE,,JAX
975503,Jelani Woods,TE,,IND
1181861,Jacob Cowing,WR,,SF
1229846,Ricky White III,WR,,SEA
1130555,Tommy Tremble,TE,,CAR
865573,Foster Moreau,TE,,NO
1232892,Jalin Hyatt,WR,,NYG
1231136,Javon Baker,WR,,NE
832220,Justin Watson,WR,,HOU
1108052,Zach Wilson,QB,,MIA
1122596,Jeremy Ruckert,TE,,NYJ
399579,Tyrod Taylor,QB,,NYJ
322858,Andy Dalton,QB,,CAR
1123521,Tanner McKee,QB,,PHI
1110697,Zamir White,RB,,LV
1066811,Aidan O'Connell,QB,,LV
976329,Michael Carter,RB,,ARI
867303,Gardner Minshew II,QB,,KC
1218658,Darnell Washington,TE,,PIT
1319219,Carson Steele,RB,,KC
1128085,Greg Dulcich,TE,,NYG
742387,Tyler Boyd,WR,,FA
1049915,David Moore,WR,,CAR
824080,Dalvin Cook,RB,,FA
1164533,Erick All Jr.,TE,,CIN
976323,Malik Willis,QB,,GB
976966,Hendon Hooker,QB,,DET
613866,Carson Wentz,QB,,FA
1128108,Kyle Philips,WR,,LV
501150,Kyle Juszczyk,RB,,SF
1215927,Luke Lachey,TE,,HOU
1225999,Brenden Rice,WR,,LAC
881779,Josh Oliver,TE,,MIN
1161739,Trey Palmer,WR,,TB
1213636,Xavier Hutchinson,WR,,HOU
589984,Odell Beckham Jr.,WR,,FA
1228925,Deuce Vaughn,RB,,DAL
1381164,Sione Vaki,RB,,DET
1172080,Bub Means,WR,,NO
912070,Michael Gallup,WR,,WAS
741262,Joshua Dobbs,QB,,NE
691278,Sterling Shepard,WR,,TB
690153,Cordarrelle Patterson,RB,,PIT
1172746,Isaiah Neyor,WR,,SF
1130975,Trey Lance,QB,,LAC
1113403,Chris Rodriguez Jr.,RB,,WAS
1287826,Kyle McCord,QB,,PHI
1163134,Baylor Cupp,TE,,FA
1286521,Kaden Prather,WR,,BUF
1167356,Craig Reynolds,RB,,DET
1215329,Will Sheppard,WR,,FA
884080,Van Jefferson,WR,,TEN
843733,Mitchell Fraboni,TE,,DEN
1163272,Jared Wiley,TE,,KC
1124338,Tyler Badie,RB,,DEN
943635,Patrick Taylor Jr.,RB,,SF
1110301,Tyquan Thornton,WR,,KC
1131023,Jaylen Johnson,WR,,LAC
836104,Parris Campbell,WR,,DAL
837594,Jeremy McNichols,RB,,WAS
1122182,Dylan Laube,RB,,LV
948705,Rodney Williams,TE,,FA
1121871,Brevin Jordan,TE,,HOU
553024,Tyler Ott,TE,,WAS
1121220,Dante Miller,RB,,NYG
1180328,Ainias Smith,WR,,PHI
1116817,Emari Demercado,RB,,ARI
746491,Zay Jones,WR,,ARI
922026,Mecole Hardman,WR,,GB
1168918,Tyler Goodson,RB,,IND
1113477,Derius Davis,WR,,LAC
1286441,Mario Williams,WR,,LAR
1286050,Corey Kiner,RB,,SF
1128527,Jermar Jefferson,RB,,FA
1061591,Cal Adomitis,TE,,CIN
728169,Mitchell Trubisky,QB,,BUF
1128086,Michael Ezeike,TE,,FA
1213386,Brady Cook,QB,,NYJ
1109758,A.T. Perry,WR,,DEN
1161853,Elijah Higgins,TE,,ARI
1121075,Jordan Travis,QB,,FA
1213486,Johnny Wilson,WR,,PHI
1050335,Pierre Strong Jr.,RB,,CLE
1106846,Michael Woods II,WR,,CLE
1127080,Nikko Remigio,WR,,KC
1068803,Bo Melton,WR,,GB
916467,Harrison Bryant,TE,,PHI
472623,James Winchester,TE,,KC
592195,Teddy Bridgewater,QB,,FA
1059680,Quintin Morris,TE,,JAX
599649,Jamison Crowder,WR,,FA
1127065,Chris Brooks,RB,,GB
695311,Jamaal Williams,RB,,FA
1128116,Dorian Thompson-Robinson,QB,,PHI
1405106,Andrew Armstrong,WR,,MIA
1134438,Tanner McLachlan,TE,,CIN
1060671,Tommy DeVito,QB,,NYG
1380476,Jacoby Jones,WR,,WAS
1271740,Drew Ogletree,TE,,IND
1232057,Ke'Shawn Williams,WR,,PIT
838396,Jordan Akins,TE,,FA
703015,Dare Ogunbowale,RB,,HOU
1130230,Hassan Haskins,RB,,LAC
1231559,Malik Heath,WR,,GB
1130260,Payne Durham,TE,,TB
1166036,Ashton Dulin,WR,,IND
1173391,Terique Owens,WR,,SF
875523,Kristian Wilkerson,WR,,BUF
1229056,Henry Parrish Jr.,RB,,FA
920758,Lil'Jordan Humphrey,WR,,NYG
1285915,Jackson Meeks,WR,,DET
1290165,Riley Leonard,QB,,IND
1113457,Jacob Warren,TE,,FA
1115394,Tanner Hudson,TE,,CIN
733849,Trent Taylor,WR,,SF
1228243,Ja'Quinden Jackson,RB,,JAX
973949,Tyrell Shavers,WR,,BUF
607047,Jacoby Brissett,QB,,ARI
875444,Adam Trautman,TE,,DEN
1289471,Mitchell Evans,TE,,CAR
881058,K.J. Osborn,WR,,WAS
1393832,Ryan Flournoy,WR,,DAL
1123496,Simi Fehoko,WR,,ARI
1172050,Kenny McIntosh,RB,,SEA
1290100,Ja'Corey Brooks,WR,,WAS
944038,John Bates,TE,,WAS
1061929,Laviska Shenault Jr.,WR,,BUF
946101,Tony Jones Jr.,RB,,FA
1315586,Tejhaun Palmer,WR,,ARI
1062546,Tylan Wallace,WR,,BAL
552586,MyCole Pruitt,TE,,FA
946748,Kene Nwangwu,RB,,NYJ
921050,Kylen Granson,TE,,PHI
1058648,Charlie Kolar,TE,,BAL
837820,Dante Pettis,WR,,NO
1177970,Xavier Gipson,WR,,NYJ
1107037,Josh Whyle,TE,,TEN
865868,Jarrett Stidham,QB,,DEN
1379270,Joseph Scates,WR,,FA
1161190,Kevin Harris,RB,,FA
839043,D'Ernest Johnson,RB,,FA
1051781,E.J. Jenkins,TE,,PHI
606799,Zach Wood,TE,,NO
555693,Robert Woods,WR,,PIT
563824,Jerick McKinnon,RB,,FA
1229218,Jalin Conyers,TE,,MIA
881670,Lucky Jackson,WR,,MIN
1107536,Devin Culp,TE,,TB
1225702,Luke Grimm,WR,,FA
915397,C.J. Ham,RB,,MIN
1065052,Tay Martin,WR,,FA
947634,Chris Oladokun,QB,,KC
1286480,Dominic Lovett,WR,,DET
1123630,Julian Hill,TE,,MIA
946541,Luke Farrell,TE,,SF
1317265,Antario Brown,RB,,FA
976236,Trey Sermon,RB,,FA
1178628,Jamari Thrash,WR,,CLE
1222835,Jordan Watkins,WR,,SF
1182082,Terrell Jennings,RB,,NE
1226343,Rakim Jarrett,WR,,TB
1176431,Casey Washington,WR,,ATL
604390,Brandon Allen,QB,,TEN
822350,Kyle Allen,QB,,DET
831007,Easton Stick,QB,,ATL
1060311,Davis Mills,QB,,HOU
922092,Jordan Thomas,TE,,FA
949134,Quez Watkins,WR,,ARI
1172969,Dayton Wade,WR,,BAL
1063397,D.J. Montgomery,WR,,IND
912553,Jonathan Ward,RB,,PIT
1108202,Brevyn Spann-Ford,TE,,DAL
1126822,Elijah Collins,RB,,FA
923814,DJ Turner,WR,,FA
1122323,Lucas Krull,TE,,DEN
1137635,Xavier Smith,WR,,LAR
943843,Kenny Yeboah,TE,,DET
1214833,Jabre Barber,WR,,FA
748309,Nick Mullens,QB,,JAX
946004,Samson Nacua,WR,,FA
1229489,Tip Reiman,TE,,ARI
882345,Drew Lock,QB,,SEA
911236,Tyler Johnson,WR,,NYJ
881956,Hayden Hurst,TE,,FA
835845,Khari Blasingame,RB,,FA
1060299,Tucker Fisk,TE,,LAC
1224653,Jalen White,RB,,GB
976309,DeeJay Dallas,RB,,ARI
974825,Kadarius Toney,WR,,FA
913163,Tyler Huntley,QB,,FA
921460,Brandon Johnson,WR,,PIT
1067132,Charlie Jones,WR,,CIN
933537,J.J. Taylor,RB,,HOU
1216808,Ben Yurosek,TE,,MIN
1058090,Bailey Zappe,QB,,KC
1060861,Jacob Kibodi,RB,,FA
978120,Brock Wright,TE,,DET
1443401,Mario Anderson Jr.,RB,,FA
1057457,Connor Heyward,TE,,PIT
1130976,Hunter Luepke,RB,,DAL
658389,Patrick Ricard,RB,,BAL
599113,Taylor Heinicke,QB,,LAC
1315563,Bryson Nesbit,TE,,MIN
976804,Ronnie Rivers,RB,,LAR
1506510,Louis Rees-Zammit,WR,,JAX
946094,Chase Claypool,WR,,FA
1162793,Max Duggan,QB,,FA
879277,Ben DiNucci,QB,,FA
1106854,Jack Plummer,QB,,CAR
1167079,Jeff Foreman,WR,,FA
1180538,Xavier Weaver,WR,,ARI
1067309,Zavier Scott,RB,,MIN
1225694,Jared Casey,TE,,FA
1462491,JaQuae Jackson,WR,,FA
1059943,Spencer Brown,RB,,FA
1191979,Mike Strachan,WR,,WAS
741785,Mike White,QB,,BUF
976528,KJ Hamler,WR,,BUF
1164933,Noah Cain,RB,,FA
830751,Daurice Fountain,WR,,FA
1166944,Malik Taylor,WR,,DET
1049905,Alex Armah,RB,,FA
1121074,Marcus Riley,WR,,FA
1231550,Will Rogers,QB,,FA
712506,Mo Alie-Cox,TE,,IND
542871,Blake Bell,TE,,FA
1056660,Austin Trammell,WR,,JAX
1060550,Hunter Long,TE,,JAX
913829,Skylar Thompson,QB,,PIT
1166480,Lew Nichols,RB,,PHI
714230,Dwayne Washington,RB,,FA
1049246,Salvon Ahmed,RB,,IND
911644,Collin Johnson,WR,,LV
835779,Royce Freeman,RB,,FA
757521,KhaDarel Hodge,WR,,ATL
922017,La'Mical Perine,RB,,FA
1161816,Ramel Keyton,WR,,FA
1128295,British Brooks,RB,,HOU
1214042,Maliq Carr,TE,,FA
1108990,Blake Watson,RB,,DEN
866578,Scotty Miller,WR,,PIT
456614,Julio Jones,WR,,FA
1217290,Khalan Griffin,RB,,FA
946019,Chris Evans,RB,,FA
1109285,Terrace Marshall Jr.,WR,,PHI
1057484,Cody White,WR,,SEA
1214318,Michael Pratt,QB,,TB
507528,Logan Thomas,TE,,FA
1323906,Keleki Latu,TE,,FA
1172107,Ali Jennings,WR,,FA
1110725,Justyn Ross,WR,,KC
696882,Jacob Hollister,TE,,FA
1067089,Sean Clifford,QB,,GB
1058726,Julian Hicks,WR,,GB
913826,Byron Pringle,WR,,FA
1161887,John Jackson III,WR,,CHI
1229386,Brennan Presley,WR,,LAR
